Date : 2026-04-08 15:01:45
Directory : d:\workshops\eShop
Total : 821 files,  56337 codes, 1671 comments, 6996 blanks, all 65004 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\WebApp\Components                                                                                                                               |         33 |      1,769 |          9 |        268 |      2,046 |
| src\WebApp\Components (Files)                                                                                                                       |          3 |         38 |          0 |          5 |         43 |
| src\WebApp\Components\Chatbot                                                                                                                       |          7 |        438 |          5 |         62 |        505 |
| src\WebApp\Components\Layout                                                                                                                        |         10 |        348 |          0 |         61 |        409 |
| src\WebApp\Components\Pages                                                                                                                         |         13 |        945 |          4 |        140 |      1,089 |
| src\WebApp\Components\Pages\Cart                                                                                                                    |          2 |        246 |          0 |         34 |        280 |
| src\WebApp\Components\Pages\Catalog                                                                                                                 |          2 |        173 |          0 |         31 |        204 |
| src\WebApp\Components\Pages\Checkout                                                                                                                |          2 |        188 |          0 |         26 |        214 |
| src\WebApp\Components\Pages\Item                                                                                                                    |          2 |        162 |          0 |         24 |        186 |
| src\WebApp\Components\Pages\User                                                                                                                    |          5 |        176 |          4 |         25 |        205 |
| src\WebApp\Extensions                                                                                                                               |          1 |        103 |          4 |         18 |        125 |
| src\WebApp\Properties                                                                                                                               |          1 |         23 |          0 |          1 |         24 |
| src\WebApp\Services                                                                                                                                 |         21 |        500 |          4 |        117 |        621 |
| src\WebApp\Services (Files)                                                                                                                         |          8 |        268 |          3 |         62 |        333 |
| src\WebApp\Services\OrderStatus                                                                                                                     |         13 |        232 |          1 |         55 |        288 |
| src\WebApp\Services\OrderStatus (Files)                                                                                                             |          1 |         52 |          1 |         10 |         63 |
| src\WebApp\Services\OrderStatus\IntegrationEvents                                                                                                   |         12 |        180 |          0 |         45 |        225 |
| src\WebApp\Services\OrderStatus\IntegrationEvents\EventHandling                                                                                     |          6 |         78 |          0 |         18 |         96 |
| src\WebApp\Services\OrderStatus\IntegrationEvents\Events                                                                                            |          6 |        102 |          0 |         27 |        129 |
| src\WebApp\wwwroot                                                                                                                                  |         10 |        487 |        154 |        118 |        759 |
| src\WebApp\wwwroot\css                                                                                                                              |          2 |        375 |        152 |        108 |        635 |
| src\WebApp\wwwroot\icons                                                                                                                            |          6 |         33 |          0 |          6 |         39 |
| src\WebApp\wwwroot\images                                                                                                                           |          2 |         79 |          2 |          4 |         85 |
| src\WebhookClient                                                                                                                                   |         33 |        709 |          9 |        161 |        879 |
| src\WebhookClient (Files)                                                                                                                           |          5 |         56 |          2 |         20 |         78 |
| src\WebhookClient\Components                                                                                                                        |         15 |        309 |          0 |         62 |        371 |
| src\WebhookClient\Components (Files)                                                                                                                |          4 |         36 |          0 |          7 |         43 |
| src\WebhookClient\Components\Layout                                                                                                                 |          4 |         82 |          0 |         16 |         98 |
| src\WebhookClient\Components\Pages                                                                                                                  |          7 |        191 |          0 |         39 |        230 |
| src\WebhookClient\Components\Pages (Files)                                                                                                          |          3 |         96 |          0 |         20 |        116 |
| src\WebhookClient\Components\Pages\Home                                                                                                             |          4 |         95 |          0 |         19 |        114 |
| src\WebhookClient\Endpoints                                                                                                                         |          2 |         64 |          0 |         16 |         80 |
| src\WebhookClient\Extensions                                                                                                                        |          1 |         52 |          5 |         10 |         67 |
| src\WebhookClient\Properties                                                                                                                        |          1 |         38 |          0 |          1 |         39 |
| src\WebhookClient\Services                                                                                                                          |          8 |         93 |          2 |         30 |        125 |
| src\WebhookClient\wwwroot                                                                                                                           |          1 |         97 |          0 |         22 |        119 |
| src\Webhooks.API                                                                                                                                    |         31 |        572 |         11 |        145 |        728 |
| src\Webhooks.API (Files)                                                                                                                            |          5 |         95 |          0 |         18 |        113 |
| src\Webhooks.API\Apis                                                                                                                               |          1 |         74 |          0 |         13 |         87 |
| src\Webhooks.API\Exceptions                                                                                                                         |          1 |          4 |          0 |          2 |          6 |
| src\Webhooks.API\Extensions                                                                                                                         |          2 |         61 |          0 |         15 |         76 |
| src\Webhooks.API\Infrastructure                                                                                                                     |          1 |         13 |          5 |          3 |         21 |
| src\Webhooks.API\IntegrationEvents                                                                                                                  |          7 |         44 |          0 |         20 |         64 |
| src\Webhooks.API\Migrations                                                                                                                         |          3 |        124 |          6 |         32 |        162 |
| src\Webhooks.API\Model                                                                                                                              |          4 |         56 |          0 |         16 |         72 |
| src\Webhooks.API\Properties                                                                                                                         |          1 |         12 |          0 |          0 |         12 |
| src\Webhooks.API\Services                                                                                                                           |          6 |         89 |          0 |         26 |        115 |
| src\eShop.AppHost                                                                                                                                   |          5 |        349 |         23 |         70 |        442 |
| src\eShop.AppHost (Files)                                                                                                                           |          4 |        332 |         23 |         69 |        424 |
| src\eShop.AppHost\Properties                                                                                                                        |          1 |         17 |          0 |          1 |         18 |
| src\eShop.ServiceDefaults                                                                                                                           |          8 |        445 |         31 |         99 |        575 |
| tests                                                                                                                                               |         40 |      2,216 |        153 |        496 |      2,865 |
| tests (Files)                                                                                                                                       |          2 |         11 |          2 |          5 |         18 |
| tests\Basket.UnitTests                                                                                                                              |          4 |        133 |          0 |         31 |        164 |
| tests\Basket.UnitTests (Files)                                                                                                                      |          3 |         83 |          0 |         19 |        102 |
| tests\Basket.UnitTests\Helpers                                                                                                                      |          1 |         50 |          0 |         12 |         62 |
| tests\Catalog.FunctionalTests                                                                                                                       |          4 |        384 |         47 |         86 |        517 |
| tests\ClientApp.UnitTests                                                                                                                           |         15 |        658 |          0 |        166 |        824 |
| tests\ClientApp.UnitTests (Files)                                                                                                                   |          3 |         43 |          0 |         13 |         56 |
| tests\ClientApp.UnitTests\Mocks                                                                                                                     |          4 |        207 |          0 |         47 |        254 |
| tests\ClientApp.UnitTests\Services                                                                                                                  |          3 |         63 |          0 |         17 |         80 |
| tests\ClientApp.UnitTests\ViewModels                                                                                                                |          5 |        345 |          0 |         89 |        434 |
| tests\Ordering.FunctionalTests                                                                                                                      |          5 |        311 |         22 |         55 |        388 |
| tests\Ordering.UnitTests                                                                                                                            |         10 |        719 |         82 |        153 |        954 |
| tests\Ordering.UnitTests (Files)                                                                                                                    |          3 |         81 |          0 |         14 |         95 |
| tests\Ordering.UnitTests\Application                                                                                                                |          4 |        245 |         37 |         69 |        351 |
| tests\Ordering.UnitTests\Domain                                                                                                                     |          3 |        393 |         45 |         70 |        508 |
| tests\Ordering.UnitTests\Domain (Files)                                                                                                             |          2 |        223 |         41 |         46 |        310 |
| tests\Ordering.UnitTests\Domain\SeedWork                                                                                                            |          1 |        170 |          4 |         24 |        198 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                            | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\workshops\eShop\.aspire\settings.json                                                                                                            | JSON with Comments |          3 |          0 |          0 |          3 |
| d:\workshops\eShop\.bmad-viewer\integrations.json                                                                                                   | JSON               |         15 |          0 |          0 |         15 |
| d:\workshops\eShop\.censitive                                                                                                                       | censitive          |          1 |          0 |          1 |          2 |
| d:\workshops\eShop\.config\CredScanSuppressions.json                                                                                                | JSON               |         13 |          0 |          1 |         14 |
| d:\workshops\eShop\.config\configuration.vs.winget                                                                                                  | YAML               |         80 |         36 |          1 |        117 |
| d:\workshops\eShop\.config\configuration.vsCode.winget                                                                                              | YAML               |        134 |         47 |          1 |        182 |
| d:\workshops\eShop\.config\tsaoptions.json                                                                                                          | JSON               |         12 |          0 |          0 |         12 |
| d:\workshops\eShop\.devcenter\catalog\definitions\imagedefinition.yaml                                                                              | YAML               |          1 |          0 |          1 |          2 |
| d:\workshops\eShop\.github\dependabot.yml                                                                                                           | YAML               |         61 |          0 |          2 |         63 |
| d:\workshops\eShop\.github\instructions\dotnet-api.instructions.md                                                                                  | Markdown           |         20 |          0 |          3 |         23 |
| d:\workshops\eShop\.github\instructions\prompt-workflow.instructions.md                                                                             | Markdown           |         13 |          0 |          3 |         16 |
| d:\workshops\eShop\.github\instructions\review-severity.instructions.md                                                                             | Markdown           |         17 |          0 |          3 |         20 |
| d:\workshops\eShop\.github\instructions\test-validation.instructions.md                                                                             | Markdown           |         18 |          0 |          3 |         21 |
| d:\workshops\eShop\.github\workflows\markdownlint-problem-matcher.json                                                                              | JSON               |         17 |          0 |          1 |         18 |
| d:\workshops\eShop\.github\workflows\markdownlint.yml                                                                                               | YAML               |         19 |          2 |          6 |         27 |
| d:\workshops\eShop\.github\workflows\playwright.yml                                                                                                 | YAML               |         45 |          2 |          1 |         48 |
| d:\workshops\eShop\.github\workflows\pr-validation-maui.yml                                                                                         | YAML               |         36 |          0 |          6 |         42 |
| d:\workshops\eShop\.github\workflows\pr-validation.yml                                                                                              | YAML               |         27 |          0 |          2 |         29 |
| d:\workshops\eShop\.markdownlint.json                                                                                                               | JSON               |         16 |          3 |          2 |         21 |
| d:\workshops\eShop\.spectral.yml                                                                                                                    | YAML               |         36 |          0 |          4 |         40 |
| d:\workshops\eShop\CODE-OF-CONDUCT.md                                                                                                               | Markdown           |          4 |          0 |          3 |          7 |
| d:\workshops\eShop\CONTRIBUTING.md                                                                                                                  | Markdown           |         21 |          0 |         18 |         39 |
| d:\workshops\eShop\Directory.Build.props                                                                                                            | XML                |         16 |          2 |          4 |         22 |
| d:\workshops\eShop\Directory.Build.targets                                                                                                          | XML                |          6 |          2 |          3 |         11 |
| d:\workshops\eShop\Directory.Packages.props                                                                                                         | XML                |         82 |         14 |          0 |         96 |
| d:\workshops\eShop\IMPROVEMENTS.md                                                                                                                  | Markdown           |        467 |          0 |        153 |        620 |
| d:\workshops\eShop\README.md                                                                                                                        | Markdown           |        113 |          0 |         49 |        162 |
| d:\workshops\eShop\bootcamp-eShop\ARCHITECTURE.md                                                                                                   | Markdown           |        133 |          0 |         64 |        197 |
| d:\workshops\eShop\bootcamp-eShop\BOOTCAMP.md                                                                                                       | Markdown           |         57 |          0 |         24 |         81 |
| d:\workshops\eShop\bootcamp-eShop\CODEMAP.md                                                                                                        | Markdown           |         69 |          0 |         55 |        124 |
| d:\workshops\eShop\bootcamp-eShop\DEPENDENCIES.md                                                                                                   | Markdown           |         36 |          0 |         18 |         54 |
| d:\workshops\eShop\bootcamp-eShop\FIRST_TASKS.md                                                                                                    | Markdown           |         81 |          0 |         58 |        139 |
| d:\workshops\eShop\bootcamp-eShop\ONBOARDING.md                                                                                                     | Markdown           |         84 |          0 |         38 |        122 |
| d:\workshops\eShop\bootcamp-eShop\RADAR.md                                                                                                          | Markdown           |         31 |          0 |         15 |         46 |
| d:\workshops\eShop\bootcamp-eShop\SECURITY.md                                                                                                       | Markdown           |         19 |          0 |         13 |         32 |
| d:\workshops\eShop\bootcamp-eShop\diagrams.mmd                                                                                                      | Mermaid Radar      |         47 |          0 |          7 |         54 |
| d:\workshops\eShop\bootcamp-eShop\repo_facts.json                                                                                                   | JSON               |        540 |          0 |          0 |        540 |
| d:\workshops\eShop\build\acr-build\queue-all.ps1                                                                                                    | PowerShell         |         30 |          0 |          4 |         34 |
| d:\workshops\eShop\build\local\open-aspire-dashboard.ps1                                                                                            | PowerShell         |         66 |          0 |         16 |         82 |
| d:\workshops\eShop\build\local\run-local.ps1                                                                                                        | PowerShell         |         43 |          1 |          9 |         53 |
| d:\workshops\eShop\build\multiarch-manifests\create-manifests.ps1                                                                                   | PowerShell         |         21 |          0 |          5 |         26 |
| d:\workshops\eShop\ci.yml                                                                                                                           | YAML               |         41 |          2 |          3 |         46 |
| d:\workshops\eShop\e2e\AddItemTest.spec.ts                                                                                                          | TypeScript         |         12 |          0 |          4 |         16 |
| d:\workshops\eShop\e2e\BrowseItemTest.spec.ts                                                                                                       | TypeScript         |          8 |          1 |          4 |         13 |
| d:\workshops\eShop\e2e\RemoveItemTest.spec.ts                                                                                                       | TypeScript         |         14 |          0 |          7 |         21 |
| d:\workshops\eShop\e2e\login.setup.ts                                                                                                               | TypeScript         |         16 |          0 |          5 |         21 |
| d:\workshops\eShop\eShop.slnx                                                                                                                       | XML                |         36 |          0 |          0 |         36 |
| d:\workshops\eShop\es-metadata.yml                                                                                                                  | YAML               |          8 |          0 |          1 |          9 |
| d:\workshops\eShop\global.json                                                                                                                      | JSON               |         13 |          0 |          1 |         14 |
| d:\workshops\eShop\package-lock.json                                                                                                                | JSON               |        104 |          0 |          1 |        105 |
| d:\workshops\eShop\package.json                                                                                                                     | JSON               |         17 |          0 |          1 |         18 |
| d:\workshops\eShop\playwright.config.ts                                                                                                             | TypeScript         |         43 |         43 |         10 |         96 |
| d:\workshops\eShop\src\Basket.API\Basket.API.csproj                                                                                                 | XML                |         21 |          0 |          4 |         25 |
| d:\workshops\eShop\src\Basket.API\Extensions\Extensions.cs                                                                                          | C#                 |         21 |          0 |          8 |         29 |
| d:\workshops\eShop\src\Basket.API\Extensions\ServerCallContextIdentityExtensions.cs                                                                 | C#                 |          7 |          0 |          3 |         10 |
| d:\workshops\eShop\src\Basket.API\GlobalUsings.cs                                                                                                   | C#                 |         11 |          0 |          1 |         12 |
| d:\workshops\eShop\src\Basket.API\Grpc\BasketService.cs                                                                                             | C#                 |         91 |          0 |         21 |        112 |
| d:\workshops\eShop\src\Basket.API\IntegrationEvents\EventHandling\OrderStartedIntegrationEventHandler.cs                                            | C#                 |         13 |          0 |          4 |         17 |
| d:\workshops\eShop\src\Basket.API\IntegrationEvents\Events\OrderStartedIntegrationEvent.cs                                                          | C#                 |          2 |          3 |          2 |          7 |
| d:\workshops\eShop\src\Basket.API\Model\BasketItem.cs                                                                                               | C#                 |         20 |          0 |          5 |         25 |
| d:\workshops\eShop\src\Basket.API\Model\CustomerBasket.cs                                                                                           | C#                 |         11 |          0 |          5 |         16 |
| d:\workshops\eShop\src\Basket.API\Program.cs                                                                                                        | C#                 |          8 |          0 |          7 |         15 |
| d:\workshops\eShop\src\Basket.API\Properties\launchSettings.json                                                                                    | JSON               |         13 |          0 |          0 |         13 |
| d:\workshops\eShop\src\Basket.API\Repositories\IBasketRepository.cs                                                                                 | C#                 |          8 |          0 |          3 |         11 |
| d:\workshops\eShop\src\Basket.API\Repositories\RedisBasketRepository.cs                                                                             | C#                 |         39 |          3 |         15 |         57 |
| d:\workshops\eShop\src\Basket.API\appsettings.Development.json                                                                                      | JSON               |          2 |          0 |          1 |          3 |
| d:\workshops\eShop\src\Basket.API\appsettings.json                                                                                                  | JSON               |         23 |          0 |          1 |         24 |
| d:\workshops\eShop\src\Catalog.API\Apis\CatalogApi.cs                                                                                               | C#                 |        353 |         13 |         57 |        423 |
| d:\workshops\eShop\src\Catalog.API\Catalog.API.csproj                                                                                               | XML                |         43 |          1 |         10 |         54 |
| d:\workshops\eShop\src\Catalog.API\Catalog.API.json                                                                                                 | JSON               |      1,130 |          0 |          0 |      1,130 |
| d:\workshops\eShop\src\Catalog.API\Catalog.API_v2.json                                                                                              | JSON               |        907 |          0 |          0 |        907 |
| d:\workshops\eShop\src\Catalog.API\CatalogOptions.cs                                                                                                | C#                 |          6 |          0 |          2 |          8 |
| d:\workshops\eShop\src\Catalog.API\Extensions\Extensions.cs                                                                                         | C#                 |         38 |          4 |         10 |         52 |
| d:\workshops\eShop\src\Catalog.API\Extensions\HostEnvironmentExtensions.cs                                                                          | C#                 |          9 |          3 |          3 |         15 |
| d:\workshops\eShop\src\Catalog.API\GlobalUsings.cs                                                                                                  | C#                 |         20 |          0 |          1 |         21 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\CatalogContext.cs                                                                                 | C#                 |         18 |          6 |          5 |         29 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\CatalogContextSeed.cs                                                                             | C#                 |         73 |          1 |         13 |         87 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\EntityConfigurations\CatalogBrandEntityTypeConfiguration.cs                                       | C#                 |         11 |          0 |          3 |         14 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\EntityConfigurations\CatalogItemEntityTypeConfiguration.cs                                        | C#                 |         18 |          0 |          7 |         25 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\EntityConfigurations\CatalogTypeEntityTypeConfiguration.cs                                        | C#                 |         11 |          0 |          3 |         14 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\Exceptions\CatalogDomainException.cs                                                              | C#                 |         12 |          3 |          4 |         19 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231009153249_Initial.Designer.cs                                                     | C#                 |        108 |          2 |         38 |        148 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231009153249_Initial.cs                                                              | C#                 |        101 |          3 |         17 |        121 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231018163051_RemoveHiLoAndIndexCatalogName.Designer.cs                               | C#                 |        103 |          2 |         36 |        141 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231018163051_RemoveHiLoAndIndexCatalogName.cs                                        | C#                 |         85 |          3 |         16 |        104 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231026091140_Outbox.Designer.cs                                                      | C#                 |        126 |          2 |         45 |        173 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\20231026091140_Outbox.cs                                                               | C#                 |         33 |          3 |          4 |         40 |
| d:\workshops\eShop\src\Catalog.API\Infrastructure\Migrations\CatalogContextModelSnapshot.cs                                                         | C#                 |        124 |          1 |         45 |        170 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\CatalogIntegrationEventService.cs                                                              | C#                 |         49 |          3 |          9 |         61 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\EventHandling\OrderStatusChangedToAwaitingValidationIntegrationEventHandler.cs                 | C#                 |         28 |          0 |          7 |         35 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\EventHandling\OrderStatusChangedToPaidIntegrationEventHandler.cs                               | C#                 |         17 |          1 |          5 |         23 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\ConfirmedOrderStockItem.cs                                                              | C#                 |          2 |          0 |          2 |          4 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\OrderStatusChangedToAwaitingValidationIntegrationEvent.cs                               | C#                 |          2 |          0 |          2 |          4 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\OrderStatusChangedToPaidIntegrationEvent.cs                                             | C#                 |          2 |          0 |          2 |          4 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\OrderStockConfirmedIntegrationEvent.cs                                                  | C#                 |          2 |          0 |          2 |          4 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\OrderStockItem.cs                                                                       | C#                 |          2 |          0 |          2 |          4 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\OrderStockRejectedIntegrationEvent.cs                                                   | C#                 |          2 |          0 |          2 |          4 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\Events\ProductPriceChangedIntegrationEvent.cs                                                  | C#                 |          2 |          3 |          2 |          7 |
| d:\workshops\eShop\src\Catalog.API\IntegrationEvents\ICatalogIntegrationEventService.cs                                                             | C#                 |          6 |          0 |          2 |          8 |
| d:\workshops\eShop\src\Catalog.API\Model\CatalogBrand.cs                                                                                            | C#                 |         11 |          0 |          5 |         16 |
| d:\workshops\eShop\src\Catalog.API\Model\CatalogItem.cs                                                                                             | C#                 |         52 |         27 |         28 |        107 |
| d:\workshops\eShop\src\Catalog.API\Model\CatalogServices.cs                                                                                         | C#                 |         15 |          0 |          2 |         17 |
| d:\workshops\eShop\src\Catalog.API\Model\CatalogType.cs                                                                                             | C#                 |         11 |          0 |          5 |         16 |
| d:\workshops\eShop\src\Catalog.API\Model\PaginatedItems.cs                                                                                          | C#                 |          9 |          0 |          6 |         15 |
| d:\workshops\eShop\src\Catalog.API\Model\PaginationRequest.cs                                                                                       | C#                 |         10 |          0 |          4 |         14 |
| d:\workshops\eShop\src\Catalog.API\Program.Testing.cs                                                                                               | C#                 |          1 |          5 |          1 |          7 |
| d:\workshops\eShop\src\Catalog.API\Program.cs                                                                                                       | C#                 |         14 |          0 |         10 |         24 |
| d:\workshops\eShop\src\Catalog.API\Properties\launchSettings.json                                                                                   | JSON               |         12 |          0 |          0 |         12 |
| d:\workshops\eShop\src\Catalog.API\Services\CatalogAI.cs                                                                                            | C#                 |         53 |          6 |         18 |         77 |
| d:\workshops\eShop\src\Catalog.API\Services\ICatalogAI.cs                                                                                           | C#                 |          9 |          4 |          6 |         19 |
| d:\workshops\eShop\src\Catalog.API\Setup\catalog.json                                                                                               | JSON               |        810 |          0 |          1 |        811 |
| d:\workshops\eShop\src\Catalog.API\appsettings.Development.json                                                                                     | JSON               |          5 |          0 |          0 |          5 |
| d:\workshops\eShop\src\Catalog.API\appsettings.json                                                                                                 | JSON               |         27 |          0 |          1 |         28 |
| d:\workshops\eShop\src\ClientApp\Animations\Base\AnimationBase.cs                                                                                   | C#                 |         92 |          0 |         20 |        112 |
| d:\workshops\eShop\src\ClientApp\Animations\Base\EasingType.cs                                                                                      | C#                 |         15 |          0 |          2 |         17 |
| d:\workshops\eShop\src\ClientApp\Animations\FadeToAnimation.cs                                                                                      | C#                 |        122 |          0 |         34 |        156 |
| d:\workshops\eShop\src\ClientApp\Animations\StoryBoard.cs                                                                                           | C#                 |         37 |          0 |          9 |         46 |
| d:\workshops\eShop\src\ClientApp\App.xaml                                                                                                           | XAML               |         14 |          0 |          1 |         15 |
| d:\workshops\eShop\src\ClientApp\App.xaml.cs                                                                                                        | C#                 |        140 |          1 |         27 |        168 |
| d:\workshops\eShop\src\ClientApp\AppActions.cs                                                                                                      | C#                 |          6 |          0 |          2 |          8 |
| d:\workshops\eShop\src\ClientApp\AppShell.xaml                                                                                                      | XAML               |         55 |          0 |          5 |         60 |
| d:\workshops\eShop\src\ClientApp\AppShell.xaml.cs                                                                                                   | C#                 |         30 |          1 |          8 |         39 |
| d:\workshops\eShop\src\ClientApp\ClientApp.csproj                                                                                                   | XML                |         72 |         20 |         18 |        110 |
| d:\workshops\eShop\src\ClientApp\Controls\AddBasketButton.xaml                                                                                      | XAML               |         20 |          0 |          1 |         21 |
| d:\workshops\eShop\src\ClientApp\Controls\AddBasketButton.xaml.cs                                                                                   | C#                 |          8 |          0 |          2 |         10 |
| d:\workshops\eShop\src\ClientApp\Controls\CustomTabbedPage.cs                                                                                       | C#                 |         24 |          0 |          7 |         31 |
| d:\workshops\eShop\src\ClientApp\Controls\ToggleButton.cs                                                                                           | C#                 |         95 |          0 |         28 |        123 |
| d:\workshops\eShop\src\ClientApp\Converters\DoesNotHaveCountConverter.cs                                                                            | C#                 |         11 |          0 |          4 |         15 |
| d:\workshops\eShop\src\ClientApp\Converters\DoubleConverter.cs                                                                                      | C#                 |         16 |          0 |          5 |         21 |
| d:\workshops\eShop\src\ClientApp\Converters\FirstValidationErrorConverter.cs                                                                        | C#                 |         11 |          0 |          4 |         15 |
